1996-06-07,64356.00,65000.00,64336.00,64356.00,292192
1996-06-14,64203.00,64336.00,64009.00,64203.00,218174
1996-06-18,64305.00,64591.00,64131.00,64305.00,569426
1996-06-19,64837.00,64847.00,64070.00,64837.00,253428
1996-06-20,64438.00,64765.00,64356.00,64438.00,222640
1996-06-21,64591.00,64653.00,64448.00,64591.00,339896
1996-06-24,64550.00,64714.00,64479.00,64550.00,237373
1996-06-25,64888.00,64888.00,64561.00,64888.00,241608
1996-06-26,65092.00,65287.00,64898.00,65092.00,327420
1996-06-27,64939.00,65092.00,64867.00,64939.00,263238
1996-06-28,64438.00,65062.00,64397.00,64438.00,710966
1996-07-01,64193.00,64489.00,64131.00,64193.00,155204
1996-07-02,64591.00,64622.00,64397.00,64591.00,240008
1996-07-03,64622.00,64765.00,64561.00,64622.00,271992
1996-07-04,64714.00,64786.00,64591.00,64714.00,697639
1996-07-05,64418.00,64796.00,64387.00,64418.00,420444
1996-07-08,64029.00,64356.00,63916.00,64029.00,271053
1996-07-09,64448.00,64458.00,63957.00,64448.00,335625
1996-07-10,64694.00,64867.00,64499.00,64694.00,389432
1996-07-11,64060.00,64663.00,64039.00,64060.00,385995
1996-07-12,63017.00,63640.00,62986.00,63017.00,315847
1996-07-15,63119.00,63579.00,63068.00,63119.00,297780
1996-07-16,61238.00,61953.00,60593.00,61238.00,391603
1996-07-17,61953.00,62158.00,61565.00,61953.00,345898
1996-07-18,62219.00,62219.00,61994.00,62219.00,342319
1996-07-19,63170.00,63323.00,62608.00,63170.00,470316
1996-07-22,62669.00,62976.00,62669.00,62669.00,55286
1996-07-23,62782.00,62853.00,62240.00,62782.00,427501
1996-07-24,61401.00,62597.00,61401.00,61401.00,361136
1996-07-25,61810.00,61923.00,61616.00,61810.00,343690
1996-07-26,61626.00,61964.00,61595.00,61626.00,189143
1996-07-29,61739.00,61974.00,61677.00,61739.00,191150
1996-07-30,61462.00,61657.00,61319.00,61462.00,278699
1996-07-31,61064.00,61555.00,61002.00,61064.00,450662
1996-08-01,61084.00,61268.00,60972.00,61084.00,212530
1996-08-02,62035.00,62096.00,61340.00,62035.00,322531
1996-08-05,62966.00,62996.00,62311.00,62966.00,324721
1996-08-06,62812.00,62904.00,62587.00,62812.00,235649
1996-08-07,62383.00,62761.00,62342.00,62383.00,242338
1996-08-08,61831.00,62168.00,61708.00,61831.00,276396
1996-08-12,61984.00,62076.00,61759.00,61984.00,203935
1996-08-13,62321.00,62434.00,62148.00,62321.00,272311
1996-08-14,61514.00,62086.00,61422.00,61514.00,302340
1996-08-15,60910.00,61534.00,60910.00,60910.00,252229
1996-08-16,60563.00,60869.00,60205.00,60563.00,257433
1996-08-19,60460.00,60726.00,60409.00,60460.00,223037
1996-08-20,59571.00,60246.00,59193.00,59571.00,396300
1996-08-21,59223.00,59898.00,59141.00,59223.00,403990
1996-08-22,60000.00,60011.00,59182.00,60000.00,389297
1996-08-23,61125.00,61514.00,60092.00,61125.00,397150
1996-08-26,61023.00,61391.00,60839.00,61023.00,252847
1996-08-27,61820.00,61841.00,61084.00,61820.00,497088
1996-08-28,62689.00,62751.00,61974.00,62689.00,335763
1996-08-29,62976.00,63191.00,62454.00,62976.00,583448
1996-08-30,62884.00,63027.00,62250.00,62884.00,376231
1996-09-02,63559.00,63620.00,62904.00,63559.00,336222
1996-09-03,63109.00,64019.00,63027.00,63109.00,342982
1996-09-04,64049.00,64141.00,63528.00,64049.00,390447
1996-09-05,64274.00,64274.00,64009.00,64274.00,243110
1996-09-06,64223.00,64223.00,63773.00,64223.00,230540
1996-09-09,64612.00,64704.00,64305.00,64612.00,329255
1996-09-10,64152.00,64673.00,64049.00,64152.00,438476
1996-09-11,63947.00,64049.00,63732.00,63947.00,370846
1996-09-12,64305.00,64305.00,63824.00,64305.00,386958
1996-09-13,64939.00,64939.00,64254.00,64939.00,510121
1996-09-16,65563.00,65716.00,65092.00,65563.00,933038
1996-09-17,65563.00,65839.00,65021.00,65665.00,442727
1996-09-18,65614.00,65614.00,64949.00,65072.00,311932
1996-09-19,65072.00,65399.00,65051.00,65348.00,390179
1996-09-20,65297.00,65297.00,64939.00,65297.00,518889
1996-09-23,65297.00,65328.00,65031.00,65031.00,148449
1996-09-25,65103.00,65726.00,65103.00,65604.00,526429
1996-09-26,65604.00,65634.00,65123.00,65174.00,285955
1996-09-27,65174.00,65573.00,64990.00,65174.00,260432
1996-09-30,65174.00,65522.00,64264.00,64418.00,190736
1996-10-01,64418.00,64653.00,63661.00,64591.00,292949
1996-10-02,64939.00,65798.00,64939.00,65706.00,418901
1996-10-03,65706.00,66013.00,65685.00,65880.00,414237
1996-10-04,65880.00,65992.00,65593.00,65931.00,474754
1996-10-07,65931.00,66043.00,65839.00,65982.00,403827
1996-10-08,65982.00,66084.00,65880.00,66002.00,378387
1996-10-09,66013.00,66135.00,66013.00,66084.00,619701
1996-10-10,65951.00,65951.00,65665.00,65685.00,245307
1996-10-11,65829.00,66033.00,65829.00,65961.00,368846
1996-10-14,65961.00,66217.00,65788.00,66115.00,356446
1996-10-15,66115.00,66463.00,66043.00,66135.00,337691
1996-10-16,66084.00,66084.00,65440.00,65440.00,306765
1996-10-17,65338.00,65338.00,64929.00,65287.00,543610
1996-10-18,65287.00,65399.00,65184.00,65195.00,333548
1996-10-21,65195.00,65256.00,65062.00,65205.00,366957
1996-10-22,65225.00,65420.00,65225.00,65348.00,484167
1996-10-23,65348.00,65532.00,65276.00,65328.00,867282
1996-10-24,65297.00,65297.00,65072.00,65082.00,342690
1996-10-25,64959.00,64959.00,64622.00,64724.00,503287
1996-10-28,64683.00,64683.00,64325.00,64428.00,308505
1996-10-29,64070.00,64070.00,63201.00,63415.00,661243
1996-10-30,63415.00,63886.00,63415.00,63886.00,465067
1996-10-31,63906.00,65011.00,63906.00,65011.00,467704
1996-11-01,65011.00,65450.00,64878.00,64949.00,616292
1996-11-04,64949.00,65103.00,64591.00,64683.00,291469
1996-11-05,64530.00,64530.00,64213.00,64305.00,434486
1996-11-06,64305.00,64397.00,63804.00,63804.00,667784
1996-11-07,63743.00,63743.00,62628.00,62966.00,487512
1996-11-08,62966.00,63385.00,62741.00,62986.00,372116
1996-11-11,62853.00,62853.00,62199.00,62260.00,349994
1996-11-12,62260.00,62659.00,61861.00,62659.00,723354
1996-11-13,62659.00,62863.00,62383.00,62567.00,1097347
1996-11-14,62587.00,63436.00,62587.00,63293.00,493481
1996-11-15,63354.00,63732.00,63354.00,63702.00,377141
1996-11-18,63845.00,64796.00,63845.00,64673.00,435305
1996-11-19,64315.00,64315.00,63978.00,64090.00,280022
1996-11-20,64090.00,64254.00,63559.00,63712.00,308234
1996-11-21,62996.00,62996.00,62557.00,62802.00,381715
1996-11-22,62782.00,62782.00,62188.00,62199.00,258566
1996-11-25,62199.00,62209.00,61524.00,61749.00,152611
1996-11-26,61749.00,62260.00,61728.00,62219.00,365233
1996-11-27,62219.00,62710.00,62219.00,62669.00,133898
1996-11-28,62669.00,62812.00,62393.00,62444.00,379823
1996-11-29,62444.00,62516.00,62250.00,62505.00,480419
1996-12-02,62505.00,62792.00,62434.00,62475.00,326315
1996-12-03,62444.00,62444.00,62035.00,62444.00,569417
1996-12-04,62444.00,62608.00,62270.00,62536.00,487775
1996-12-05,62536.00,62597.00,62413.00,62577.00,683429
1996-12-06,62260.00,62260.00,60593.00,61197.00,470727
1996-12-09,61197.00,61800.00,61053.00,61370.00,323229
1996-12-10,61544.00,61974.00,61544.00,61933.00,442006
1996-12-11,61739.00,61739.00,61411.00,61555.00,332526
1996-12-12,61555.00,61595.00,60972.00,61186.00,723961
1996-12-13,60818.00,60818.00,59510.00,59816.00,844785
1996-12-17,59816.00,59898.00,58109.00,58620.00,1884375
1996-12-18,58620.00,59213.00,58262.00,59019.00,687277
1996-12-19,59019.00,59632.00,58630.00,59632.00,894906
1996-12-20,59847.00,60593.00,59847.00,60491.00,558999
1996-12-23,60491.00,60644.00,60368.00,60593.00,269936
1996-12-24,60593.00,60706.00,60522.00,60706.00,108190
1996-12-27,60706.00,60931.00,60154.00,60910.00,73024
1996-12-30,60992.00,61381.00,60992.00,61350.00,265902
1996-12-31,61370.00,61524.00,61370.00,61422.00,218029
